venue_year,paper_count
uist2016,81
cscw2015,161
cscw2014,132
uist2017,75
uist2015,72
cscw2016,142
cscw2017,185
uist2014,74
uist2010,39
cscw2013,139
cscw2012,163
uist2011,69
uist2013,63
cscw2010,57
cscw2011,111
uist2012,62
chi2020,670
chi2019,707
chi2018,758
chi2015,484
chi2014,465
chi2016,545
chi2017,601
chi2013,392
chi2012,369
chi2010,302
chi2011,409
uist2020,101
uist2019,95
uist2018,84
cscw2019,227
cscw2018,178
